This is run 21
time taken is -6.49398494E8

time taken is -6.40363507E8

time taken is -6.47192116E8

time taken is -6.42725417E8

time taken is -6.46257218E8

time taken is -6.44178703E8

time taken is -6.41275473E8

time taken is -6.58154014E8

time taken is -6.42424691E8

time taken is -6.41498254E8

time taken is -6.43347921E8

time taken is -6.47137537E8

time taken is -6.4255242E8

time taken is -6.42220473E8

time taken is -6.48174204E8

time taken is -6.49361655E8

time taken is -6.53575739E8

time taken is -6.46255108E8

time taken is -6.43880418E8

time taken is -6.41522498E8

time taken is -6.39806294E8

time taken is -6.42933939E8

time taken is -6.50474863E8

time taken is -6.40387872E8

time taken is -6.41623656E8

time taken is -6.44690952E8

time taken is -6.3927058E8

time taken is -6.4969742E8

time taken is -6.45788388E8

time taken is -6.43618892E8

time taken is -6.43266004E8

time taken is -6.37669948E8

time taken is -6.44272961E8

time taken is -6.42526455E8

time taken is -6.37719236E8

time taken is -6.44377075E8

time taken is -6.4578603E8

time taken is -6.61790301E8

time taken is -6.43233307E8

time taken is -6.39143191E8

time taken is -6.43598708E8

time taken is -6.40964006E8

time taken is -6.39292705E8

time taken is -6.42314407E8

time taken is -6.42551237E8

time taken is -6.41600257E8

time taken is -6.51515979E8

time taken is -6.60143843E8

time taken is -6.7329224E8

time taken is -6.42130384E8

time taken is -6.41879701E8

time taken is -6.38988614E8

time taken is -6.42500733E8

time taken is -6.44018721E8

time taken is -6.93174866E8

time taken is -6.4155149E8

time taken is -6.37125383E8

time taken is -6.50281157E8

time taken is -6.42112039E8

time taken is -6.38510061E8

time taken is -6.43973708E8

time taken is -6.43794076E8

time taken is -6.40199049E8

time taken is -6.42396721E8

time taken is -6.38215351E8

time taken is -6.43212175E8

time taken is -6.4247032E8

time taken is -6.38677757E8

time taken is -6.49959492E8

time taken is -6.41641668E8

time taken is -6.37216575E8

time taken is -6.44737684E8

time taken is -6.42869749E8

